ID	Label EN	Label FR	Label FR annotation	Label ES	Label ES annotation	Change Note	CrossRef
ID	AL rdfs:label@en	AL rdfs:label@fr	>A rdfs:comment	AL rdfs:label@es	>A rdfs:comment	AL skos:changeNote@en	A oboInOwl:hasDbXref SPLIT=|
http://id.who.int/icd/entity/1019379329	Structure of upper extremity	Structure du membre supérieur	[PROMOT note] Source for official translation: https://icd.who.int/browse/2026-01/icf/fr > Info > Fichier du tableur	Estructura de la extremidad superior	[PROMOT note] Source for official translation: https://icd.who.int/browse/2026-01/icf/es > Información > Archivo de hoja de cálculo	[PROMOT note] The PROMOT ontology added a crossref to the LIRMM version of the ICF (CIF-ASIP 2020). It also added the official French and Spanish translation for labels.	https://data.esante.gouv.fr/terminologies/icf#99223
http://id.who.int/icd/entity/1034220517	Alternative vocalization functions	Autres fonctions de vocalisation	[PROMOT note] Source for official translation: https://icd.who.int/browse/2026-01/icf/fr > Info > Fichier du tableur	Funciones alternativas de vocalización	[PROMOT note] Source for official translation: https://icd.who.int/browse/2026-01/icf/es > Información > Archivo de hoja de cálculo	[PROMOT note] The PROMOT ontology added a crossref to the LIRMM version of the ICF (CIF-ASIP 2020). It also added the official French and Spanish translation for labels.	https://data.esante.gouv.fr/terminologies/icf#45682
http://id.who.int/icd/entity/1041382491	Oral swallowing	Déglutition orale	[PROMOT note] Source for official translation: https://icd.who.int/browse/2026-01/icf/fr > Info > Fichier du tableur	Deglución oral	[PROMOT note] Source for official translation: https://icd.who.int/browse/2026-01/icf/es > Información > Archivo de hoja de cálculo	[PROMOT note] The PROMOT ontology added a crossref to the LIRMM version of the ICF (CIF-ASIP 2020). It also added the official French and Spanish translation for labels.	https://data.esante.gouv.fr/terminologies/icf#65084
http://id.who.int/icd/entity/1065560247	Pain in stomach or abdomen	Douleur à l'estomac ou dans l'abdomen	[PROMOT note] Source for official translation: https://icd.who.int/browse/2026-01/icf/fr > Info > Fichier du tableur	Dolor en el estómago o en el abdomen	[PROMOT note] Source for official translation: https://icd.who.int/browse/2026-01/icf/es > Información > Archivo de hoja de cálculo	[PROMOT note] The PROMOT ontology added a crossref to the LIRMM version of the ICF (CIF-ASIP 2020). It also added the official French and Spanish translation for labels.	https://data.esante.gouv.fr/terminologies/icf#74415
http://id.who.int/icd/entity/1083127119	Functions of coughing	Fonctions de toux	[PROMOT note] Source for official translation: https://icd.who.int/browse/2026-01/icf/fr > Info > Fichier du tableur	funciones de toser	[PROMOT note] Source for official translation: https://icd.who.int/browse/2026-01/icf/es > Información > Archivo de hoja de cálculo	[PROMOT note] The PROMOT ontology added a crossref to the LIRMM version of the ICF (CIF-ASIP 2020). It also added the official French and Spanish translation for labels.	https://data.esante.gouv.fr/terminologies/icf#32287
http://id.who.int/icd/entity/1090716697	Functions of external muscles of the eye	Fonctions des muscles externes de l'œil	[PROMOT note] Source for official translation: https://icd.who.int/browse/2026-01/icf/fr > Info > Fichier du tableur	Funciones de los músculos externos del ojo	[PROMOT note] Source for official translation: https://icd.who.int/browse/2026-01/icf/es > Información > Archivo de hoja de cálculo	[PROMOT note] The PROMOT ontology added a crossref to the LIRMM version of the ICF (CIF-ASIP 2020). It also added the official French and Spanish translation for labels.	https://data.esante.gouv.fr/terminologies/icf#70460
http://id.who.int/icd/entity/1104062484	Pubertal functions	Fonctions liées à la puberté	[PROMOT note] Source for official translation: https://icd.who.int/browse/2026-01/icf/fr > Info > Fichier du tableur	Funciones puberales	[PROMOT note] Source for official translation: https://icd.who.int/browse/2026-01/icf/es > Información > Archivo de hoja de cálculo	[PROMOT note] The PROMOT ontology added a crossref to the LIRMM version of the ICF (CIF-ASIP 2020). It also added the official French and Spanish translation for labels.	https://data.esante.gouv.fr/terminologies/icf#25814
http://id.who.int/icd/entity/1108927576	Structure of shoulder region	Structure de la région des épaules	[PROMOT note] Source for official translation: https://icd.who.int/browse/2026-01/icf/fr > Info > Fichier du tableur	Estructura de la región del hombro	[PROMOT note] Source for official translation: https://icd.who.int/browse/2026-01/icf/es > Información > Archivo de hoja de cálculo	[PROMOT note] The PROMOT ontology added a crossref to the LIRMM version of the ICF (CIF-ASIP 2020). It also added the official French and Spanish translation for labels.	https://data.esante.gouv.fr/terminologies/icf#41776
http://id.who.int/icd/entity/1109440237	Speed of speech	Vitesse de la parole	[PROMOT note] Source for official translation: https://icd.who.int/browse/2026-01/icf/fr > Info > Fichier du tableur	Velocidad del habla	[PROMOT note] Source for official translation: https://icd.who.int/browse/2026-01/icf/es > Información > Archivo de hoja de cálculo	[PROMOT note] The PROMOT ontology added a crossref to the LIRMM version of the ICF (CIF-ASIP 2020). It also added the official French and Spanish translation for labels.	https://data.esante.gouv.fr/terminologies/icf#63222
